procurement_id,order_date_key,product_id,supplier_id,order_quantity,unit_cost,total_cost,lead_time_days,delivery_date_key,quality_score,po_number
1,665,20,11,4426,78.37,346880.44,30.0,701,98.2,PO-2024-122014
2,504,10,5,5963,328.53,1959062.46,29.0,541,95.8,PO-2024-353413
3,502,8,7,3012,33.84,101924.82,20.0,523,97.6,PO-2024-805496
4,332,18,2,3515,154.19,541980.37,28.0,373,95.2,PO-2023-129373
5,150,15,1,3447,52.24,180056.59,32.0,162,97.9,PO-2023-486414
6,315,15,6,1252,39.4,49332.84,21.0,331,97.6,PO-2023-360751
7,313,2,4,3912,145.63,569673.83,31.0,354,93.3,PO-2023-773695
8,341,7,5,1297,121.81,157992.92,30.0,380,93.0,PO-2023-980826
9,8,20,3,2922,42.13,123103.18,30.0,34,98.8,PO-2023-839243
10,242,4,13,2843,276.91,787274.34,20.0,277,97.1,PO-2023-330914
11,492,15,7,1717,35.38,60747.25,20.0,515,98.7,PO-2024-372120
12,631,11,8,5413,171.04,925879.91,29.0,673,98.3,PO-2024-270409
13,312,10,7,2647,365.9,968529.57,18.0,325,95.1,PO-2023-348075
14,66,3,8,3175,151.55,481147.28,29.0,95,95.0,PO-2023-695070
15,610,10,2,3402,605.24,2059031.7,28.0,644,97.2,PO-2024-593729
16,644,21,6,2233,60.96,136123.68,20.0,683,94.0,PO-2024-932037
17,653,21,12,1137,60.96,69311.52,21.0,684,94.0,PO-2024-396586
18,164,20,11,5175,79.7,412475.01,30.0,195,97.4,PO-2023-323780
19,316,13,10,2200,206.82,454987.57,22.0,337,98.0,PO-2023-401689
20,83,11,6,3571,130.67,466617.21,21.0,96,95.2,PO-2023-728836
21,42,11,6,3059,170.65,522025.73,22.0,62,96.8,PO-2023-103349
22,368,8,7,959,61.82,59282.84,19.0,388,95.5,PO-2024-465553
23,217,5,6,3317,144.23,478390.89,20.0,238,99.4,PO-2023-199005
24,711,20,8,4857,144.07,699759.14,33.0,731,94.0,PO-2024-990341
25,429,21,10,3460,58.78,203390.1,21.0,465,94.9,PO-2024-148770
26,407,11,10,5011,109.56,548995.63,22.0,426,97.9,PO-2024-552056
27,318,13,6,4303,206.82,889914.31,20.0,358,93.3,PO-2023-775204
28,12,15,6,2246,21.53,48364.52,22.0,23,93.2,PO-2023-285450
29,99,11,7,4969,142.91,710176.53,22.0,123,98.4,PO-2023-430354
30,318,19,2,1356,119.93,162618.49,29.0,357,99.4,PO-2023-352987
31,452,11,11,5708,101.37,578634.45,29.0,485,94.9,PO-2024-263078
32,464,19,10,4488,102.27,458963.6,20.0,502,97.7,PO-2024-326099
33,591,22,10,1668,255.99,427004.45,21.0,617,95.1,PO-2024-445732
