shipment_id,ship_date_key,delivery_date_key,product_id,facility_id,customer_id,quantity,carrier,status,shipping_cost,total_weight_kg,tracking_number,delay_reason,delivery_performance_score
1,635,645,18,16,10,1609,Maersk,Delayed,8255.5,74565.0,MAE6398297830,Documentation Issue,15.02
2,47,56,7,9,4,3249,FedEx,Delayed,4313.86,1572.62,FED7459862062,,29.42
3,274,284,16,6,6,4416,DHL,Delayed,4144.56,113700.0,DHL5122925542,,26.6
4,551,576,9,16,3,4525,CMA CGM,Delivered,4050.93,73904.39,CMA9657347708,,24.88
5,547,559,6,14,9,1762,DB Schenker,Delayed,10051.08,1114.88,DB5966091476,,37.5
6,510,530,2,14,8,3978,Maersk,Delayed,3440.27,737.46,MAE7796073833,Customs Delay,11.26
7,675,691,12,9,4,2356,CMA CGM,Delivered,4350.63,127465.65,CMA9902421170,,17.92
8,548,589,20,8,15,1896,FedEx,In Transit,8817.97,390.4,FED2392954738,,35.05
9,327,341,22,11,7,1080,DHL,Delayed,4459.4,88960.0,DHL6393291027,,24.91
10,685,189,15,8,3,539,DB Schenker,In Transit,3083.41,33.3,DB9613630661,,33.36
11,497,528,1,11,2,3453,CMA CGM,Delivered,4733.07,683.13,CMA7062113990,,36.62
12,247,255,3,8,7,1460,DHL,Delayed,6246.59,255.51,DHL4273345208,,29.66
13,249,254,6,15,15,1801,DHL,Delayed,5244.18,1139.0,DHL9468927363,,41.85
14,33,47,21,12,15,2709,FedEx,Delayed,3744.8,530.1,FED1017461855,Documentation Issue,12.23
15,512,131,11,11,8,4782,CMA CGM,In Transit,8599.51,148507.84,CMA2541547775,,27.71
16,439,466,16,14,3,3564,DB Schenker,Delayed,4971.9,91750.0,DB2150182991,,19.53
17,446,461,5,3,4,1514,FedEx,Delayed,6728.43,342.98,FED2412293479,,21.09
18,489,595,16,1,16,3899,Maersk,In Transit,4273.09,100375.0,MAE9090951805,,31.39
19,328,350,1,11,9,2371,DB Schenker,Delayed,3481.43,512.82,DB5465482019,,22.74
20,616,357,7,4,5,4370,FedEx,In Transit,4965.71,2115.0,FED7989832353,,28.88
21,40,74,13,15,3,1111,DB Schenker,Delayed,7276.77,73304.12,DB4180524777,,40.43
22,675,692,4,13,12,1379,DB Schenker,Delayed,4844.72,286.44,DB7325523009,,37.39
23,594,607,16,7,9,867,DHL,Delayed,7398.78,22325.0,DHL8493472408,,20.93
24,426,431,5,2,16,1807,CMA CGM,Delivered,9967.66,374.66,CMA6573003874,,38.85
25,489,511,7,13,2,310,UPS,Delayed,3044.25,149.93,UPS7236422504,,23.05
26,164,179,8,13,13,3766,DHL,Delayed,9856.14,1991.36,DHL7817942621,,41.55
27,328,351,22,14,10,4532,DHL,Delayed,8907.5,342320.0,DHL1257162472,,37.78
28,80,95,16,4,16,4212,FedEx,Delayed,7068.56,108450.0,FED4515941470,,23.8
29,411,443,1,8,1,1339,UPS,Delayed,7320.49,265.44,UPS8395909456,,40.31
30,142,164,19,8,3,1311,DHL,Delayed,3099.37,24300.0,DHL9036484653,Carrier Delay,9.38
31,447,452,16,12,2,1159,DB Schenker,Delayed,6825.56,29850.0,DB1882867685,Vehicle Breakdown,19.02
32,638,659,19,6,8,2115,DHL,Delayed,10926.58,35946.0,DHL6695688268,,37.59
33,339,359,13,12,2,2156,DB Schenker,Delayed,17464.94,155133.6,DB7177501593,Weather,9.7
34,275,300,4,15,3,802,FedEx,Delayed,6695.96,181.72,FED1614706222,Port Congestion,24.88
35,496,341,16,9,1,483,Maersk,In Transit,10298.61,12425.0,MAE1310233592,,36.12
36,296,304,1,8,3,3627,DB Schenker,Delayed,7686.9,784.35,DB5698485210,,27.58
37,458,465,1,6,13,3841,DB Schenker,Delayed,2675.06,830.55,DB7975107208,Security Check,13.82
38,305,327,22,14,14,1768,UPS,Delayed,8358.66,133520.0,UPS9678683770,,37.12
39,715,731,14,5,3,2658,FedEx,Delayed,14158.55,164.22,FED3008621396,Customs Delay,20.34
40,523,554,4,9,13,502,DHL,Delayed,6873.32,104.06,DHL3004247574,,39.32
41,236,252,12,9,3,3576,UPS,Delayed,9804.71,193909.95,UPS2085935482,,18.74
42,656,667,4,1,7,713,FedEx,Delayed,2766.49,148.06,FED7713325480,,39.68
43,590,622,8,9,8,3450,DB Schenker,Delayed,4599.45,1823.92,DB7448591709,,36.71
44,585,599,3,7,11,777,Maersk,Delivered,8901.4,135.66,MAE8844344113,,28.88
45,81,89,8,14,15,2570,UPS,Delayed,4665.06,1358.56,UPS9687385204,,38.16
46,666,699,16,10,3,255,UPS,Delayed,3677.26,6575.0,UPS9453633907,Carrier Delay,19.96
47,515,510,20,7,1,3702,UPS,In Transit,7284.8,762.4,UPS7099458370,,29.1
48,705,725,16,2,3,2158,UPS,Delayed,11247.97,55550.0,UPS3009002285,Documentation Issue,17.52
49,573,594,7,8,12,2238,FedEx,Delayed,4929.05,993.11,FED8811432443,,40.01
50,485,513,14,9,1,4788,DB Schenker,Delivered,8561.1,270.72,DB8988598401,,37.68
51,694,702,18,3,14,2473,Maersk,Delayed,9661.73,114615.0,MAE6230856304,Weather,25.23
52,409,430,7,7,5,927,Maersk,Delivered,8155.29,410.31,MAE6719921653,,41.48
53,278,311,13,10,5,506,CMA CGM,Delivered,8935.49,36337.6,CMA3940233861,,29.27
54,313,329,8,6,14,1918,Maersk,Delivered,5339.03,1103.76,MAE4132973382,,28.69
55,717,731,1,15,9,3796,UPS,Delayed,17435.53,752.64,UPS4893764169,,40.34
56,649,683,19,7,9,437,DHL,Delayed,3208.39,7434.0,DHL9139619567,,42.43
57,11,22,6,5,14,635,DB Schenker,Delayed,5259.83,438.18,DB7289730793,,18.31
58,164,186,14,8,4,1375,DHL,Delivered,3950.15,77.7,DHL8162125134,,37.75
59,710,720,8,10,15,2984,FedEx,Delayed,16432.42,1720.88,FED6186127874,,17.76
60,488,502,11,6,11,860,Maersk,Delivered,6060.43,24429.6,MAE1384439030,,38.59
61,364,375,9,9,13,694,CMA CGM,Delayed,5573.31,11361.35,CMA7247818705,Weather,15.26
62,338,345,8,10,4,4288,UPS,Delayed,16018.8,2472.96,UPS2794357035,Strikes,13.24
63,375,404,15,13,7,2849,DHL,Delivered,6531.77,161.04,DHL5365190541,,41.83
64,516,545,2,1,2,703,CMA CGM,Delivered,4049.86,119.34,CMA7385270781,,38.79
65,570,648,19,13,13,418,DHL,In Transit,3091.38,7740.0,DHL3651746705,,28.77
66,714,720,21,10,12,1464,DHL,Delivered,14793.07,262.01,DHL5863159255,,39.99
67,19,50,6,2,5,473,Maersk,Delivered,7910.06,298.82,MAE2547258523,,37.4
68,31,37,17,10,14,1413,CMA CGM,Delivered,7016.63,46585.0,CMA4394551793,,41.66
69,713,726,17,16,13,1590,DHL,Delayed,8985.27,57295.0,DHL2827597062,,18.13
70,279,303,20,1,12,2548,UPS,Delayed,2462.05,524.8,UPS6489905288,Port Congestion,25.54
71,489,513,3,3,7,3081,DB Schenker,Delayed,7544.87,539.41,DB2352493396,,27.12
72,250,276,10,14,11,4811,FedEx,Delayed,8140.67,97925.52,FED9425933580,,37.77
73,61,77,6,10,10,1921,UPS,Delayed,9444.09,1215.38,UPS6274256773,,36.53
74,160,179,11,8,10,385,UPS,Delayed,11033.96,11943.36,UPS8415868373,,27.67
75,279,311,7,2,4,2478,DHL,Delivered,8352.07,1097.45,DHL5820902987,,41.04
76,251,259,17,4,14,486,UPS,Delayed,4437.9,17500.0,UPS4103540865,Vehicle Breakdown,21.1
77,60,88,13,13,16,3233,DHL,Delivered,6352.55,212924.36,DHL1684852538,,41.46
78,310,334,16,8,3,4463,DHL,Delivered,8313.82,105125.0,DHL8797196295,,36.97
79,544,563,7,16,16,4941,UPS,Delayed,11825.19,2192.55,UPS9879178598,,38.8
80,298,314,1,6,1,1297,UPS,Delayed,6618.34,280.56,UPS1558965434,Customs Delay,10.57
81,226,253,16,5,6,2965,UPS,Delayed,8121.49,76325.0,UPS2877350649,,28.29
82,1,13,22,9,14,3449,CMA CGM,Delivered,6528.52,260000.0,CMA4107944261,,40.5
83,700,713,21,7,5,2256,DHL,Delivered,5426.9,403.94,DHL8755707664,,38.62
84,509,535,12,6,8,4224,DHL,Delayed,4749.32,229027.5,DHL3165451377,Documentation Issue,9.68
85,711,725,16,8,5,1601,DB Schenker,Delayed,7685.73,41225.0,DB5502803272,,21.18
86,473,487,2,10,9,2874,CMA CGM,Delayed,6583.48,532.8,CMA7304964466,Port Congestion,14.17
87,324,341,19,11,7,1606,DHL,Delayed,8590.33,29772.0,DHL3090399884,,26.57
88,653,660,13,2,10,4047,UPS,In Transit,3359.15,291259.84,UPS4527321635,,32.6
89,188,222,9,11,3,2600,DHL,Delivered,10961.55,38930.5,DHL5807929062,,42.2
90,544,437,5,15,10,724,Maersk,In Transit,6055.5,164.12,MAE4246701643,,30.83
91,68,80,11,15,10,769,DHL,Delayed,9862.96,23886.72,DHL2215135063,Strikes,10.64
92,665,674,21,11,15,2268,Maersk,Delivered,5114.18,442.89,MAE4197089477,,26.36
93,518,546,8,10,1,978,CMA CGM,Delivered,11454.93,515.76,CMA7603477311,,41.39
94,436,458,1,2,16,1974,UPS,Delayed,5887.83,391.44,UPS3208665920,,40.11
95,387,419,5,11,7,4942,Maersk,Delivered,6314.41,1024.32,MAE6189118541,,41.45
96,461,400,5,12,14,4385,FedEx,In Transit,2850.47,993.52,FED2810625755,,31.06
97,585,333,21,8,7,739,UPS,In Transit,8648.54,144.59,UPS9743883273,,31.37
98,458,469,5,7,14,4146,UPS,Delayed,2962.76,861.08,UPS8824386708,,39.24
99,363,391,4,14,2,2113,DB Schenker,Delayed,14880.21,478.72,DB7620660088,,17.5
100,65,96,20,8,3,3402,FedEx,Delayed,4111.51,642.4,FED6600932528,,37.19
101,482,157,14,7,9,3728,DB Schenker,In Transit,8307.2,230.34,DB2749799676,,26.1
102,119,150,2,8,3,1356,FedEx,Delayed,9764.77,251.28,FED2823080501,,25.37
103,197,229,14,11,10,2046,DB Schenker,Delivered,11136.37,115.68,DB5844777507,,38.52
104,19,50,5,5,12,767,FedEx,Delayed,7000.15,173.8,FED4490319087,Customs Delay,17.32
105,672,613,8,6,16,4478,UPS,In Transit,3495.75,2582.16,UPS1137375613,,35.5
106,713,727,14,2,8,791,FedEx,Delayed,15315.53,44.82,FED3093850429,,38.1
107,399,433,21,14,7,2812,UPS,Delayed,6764.85,504.45,UPS5376915257,,39.14
108,79,92,22,2,1,4048,UPS,Delayed,8004.74,333520.0,UPS4585080315,Vehicle Breakdown,21.56
109,514,526,21,5,12,3223,UPS,Delayed,6784.62,630.61,UPS9494140155,,20.12
110,138,164,12,14,4,4125,Maersk,Delivered,6577.45,204650.55,MAE7819900118,,36.98
111,75,99,5,1,13,2646,Maersk,Delivered,7798.07,598.4,MAE2546968509,,20.9
112,52,66,3,14,1,3091,DHL,Delayed,7782.15,541.11,DHL3557998389,,19.25
113,728,731,18,16,10,1422,DB Schenker,Delayed,10658.09,65880.0,DB3107410669,,29.15
114,127,157,15,12,14,632,Maersk,Delayed,3409.43,39.06,MAE1963863921,Weather,22.46
115,537,543,17,16,14,4227,DB Schenker,Delayed,9300.11,152355.0,DB8663921276,Weather,19.46
116,36,52,7,1,1,2872,Maersk,Delivered,5598.45,1386.97,MAE2070241748,,28.39
117,700,105,3,8,2,4454,FedEx,In Transit,6292.63,779.79,FED9963523220,,34.38
118,268,280,4,13,7,4239,Maersk,Delivered,4401.09,878.9,MAE9625179632,,37.69
119,526,558,10,5,15,500,DHL,Delivered,7454.87,10154.76,DHL9493882065,,42.24
120,624,673,20,13,1,1977,FedEx,In Transit,7020.02,407.2,FED2865788063,,31.55
121,652,463,10,8,7,4562,CMA CGM,In Transit,9164.67,101288.88,CMA6880119384,,34.43
122,661,588,18,12,10,4414,UPS,In Transit,6756.85,204570.0,UPS2797691198,,35.37
123,21,52,21,13,7,1268,DHL,Delivered,7536.65,227.05,DHL6438524455,,38.54
124,582,107,17,12,4,583,CMA CGM,In Transit,6310.36,21000.0,CMA8501520379,,26.94
125,725,731,8,14,16,4780,DB Schenker,Delivered,14137.06,2522.24,DB7988646640,,37.96
126,616,431,14,4,9,568,FedEx,In Transit,9048.03,35.1,FED3978814012,,30.34
127,9,31,2,9,15,2277,Maersk,Delivered,7003.99,386.28,MAE6895353318,,41.76
128,504,535,3,14,12,1963,Maersk,Delivered,7517.34,314.5,MAE5997940422,,42.03
129,29,61,1,11,4,1795,Maersk,Delayed,8060.57,388.08,MAE1915299975,Vehicle Breakdown,8.71
130,490,495,16,7,9,2898,DB Schenker,Delayed,9830.65,74600.0,DB3470540395,,23.75
131,155,187,17,15,10,3881,UPS,Delayed,6543.01,128240.0,UPS9910727456,,39.18
132,187,197,1,1,13,5213,Maersk,Delivered,4556.78,1031.52,MAE5381745002,,37.92
133,80,101,12,11,15,186,DB Schenker,Delivered,3280.02,9266.4,DB3672637820,,37.26
134,408,425,5,15,1,1408,UPS,Delayed,8523.47,319.0,UPS2663489891,,21.52
135,4,38,21,4,10,709,CMA CGM,Delivered,4702.35,138.51,CMA1347985133,,29.32
136,691,270,22,8,16,2736,Maersk,In Transit,13015.58,225440.0,MAE9922414661,,29.23
137,468,480,15,5,10,223,DHL,Delivered,10377.61,12.66,DHL7779660871,,39.83
138,205,212,7,5,15,771,FedEx,Delayed,4282.6,373.18,FED8079849601,,26.23
139,513,521,9,11,2,4273,DB Schenker,Delivered,6414.12,63989.03,DB7619843229,,38.83
140,383,395,12,3,5,4346,Maersk,Delivered,3825.24,215654.4,MAE7665342672,,42.75
141,159,169,8,12,7,2457,FedEx,Delayed,6144.29,1299.2,FED5669167329,,42.69
142,704,612,17,15,1,1424,CMA CGM,In Transit,2748.01,51310.0,CMA3593755923,,28.46
143,467,476,20,8,5,4917,CMA CGM,Delivered,3096.61,926.6,CMA8316669965,,39.69
144,523,549,9,1,9,3504,Maersk,Delivered,6690.69,52468.78,MAE9214308715,,38.43
145,705,719,9,6,1,2867,DHL,Delivered,13609.77,42918.89,DHL2042334649,,38.32
146,33,62,9,5,12,4640,FedEx,Delayed,4684.1,69614.09,FED7202475468,,36.73
147,309,331,9,4,15,5116,CMA CGM,Delivered,4907.06,76605.69,CMA6196645123,,40.41
148,286,297,5,3,14,3798,CMA CGM,Delayed,4959.13,860.42,CMA8512638561,Port Congestion,17.22
149,470,483,8,10,2,2501,Maersk,Delayed,5705.75,1442.56,MAE2264741695,Customs Delay,9.47
