production_id,date_key,product_id,facility_id,quantity_produced,defective_units,defect_rate_pct,batch_number
1,519,11,2,1492,18,1.22,PROD-2024984813
2,510,18,11,2126,27,1.29,PROD-2024525941
3,161,12,11,13,0,1.23,PROD-2023301283
4,360,19,8,377,5,1.34,PROD-2023472651
5,169,16,9,39,0,1.22,PROD-2023637577
6,46,2,8,40,1,1.27,PROD-2023280360
7,527,11,10,2003,24,1.21,PROD-2024223598
8,400,12,7,1684,22,1.28,PROD-2024973034
9,714,3,8,4143,57,1.37,PROD-2024247137
10,92,19,9,40,0,1.22,PROD-2023265351
11,522,19,8,1719,21,1.21,PROD-2024328781
12,158,19,10,4,0,1.21,PROD-2023943949
13,341,9,8,144,2,1.3,PROD-2023903959
14,599,9,11,2126,27,1.29,PROD-2024390621
15,557,2,3,346,5,1.33,PROD-2024587210
16,271,5,9,45,1,1.34,PROD-2023237890
17,543,1,8,421,5,1.19,PROD-2024753396
18,132,16,1,22,0,1.28,PROD-2023742915
19,603,17,2,1806,23,1.3,PROD-2024603377
20,181,22,12,31,0,1.21,PROD-2023569316
21,159,14,10,35,0,1.22,PROD-2023598151
22,377,10,2,319,4,1.31,PROD-2024597805
23,477,3,7,1062,13,1.25,PROD-2024848540
24,255,5,7,23,0,1.34,PROD-2023213880
25,296,19,8,51,1,1.32,PROD-2023758048
26,317,2,3,11,0,1.32,PROD-2023937858
27,587,1,12,2401,31,1.29,PROD-2024978041
28,350,1,3,1205,16,1.35,PROD-2023374705
29,68,1,7,46,1,1.29,PROD-2023479158
30,30,16,2,16,0,1.3,PROD-2023600024
31,204,1,1,4,0,1.29,PROD-2023516368
32,179,5,8,8,0,1.21,PROD-2023370026
33,597,13,10,1307,17,1.29,PROD-2024628682
34,303,6,9,40,1,1.27,PROD-2023487685
35,350,14,12,234,3,1.35,PROD-2023787679
36,628,4,10,1285,17,1.35,PROD-2024353471
37,75,19,12,13,0,1.31,PROD-2023564307
38,286,22,7,45,1,1.28,PROD-2023325491
39,107,2,2,49,1,1.24,PROD-2023143845
40,325,3,3,48,1,1.37,PROD-2023596633
41,311,7,3,36,0,1.34,PROD-2023951609
42,90,21,11,14,0,1.31,PROD-2023605512
43,22,10,10,21,0,1.31,PROD-2023590759
44,16,1,1,10,0,1.33,PROD-2023423786
45,435,9,1,967,13,1.31,PROD-2024587345
46,689,20,2,177,2,1.36,PROD-2024972750
47,72,19,3,12,0,1.31,PROD-2023576764
48,533,4,2,2234,27,1.2,PROD-2024552184
49,413,7,7,342,4,1.25,PROD-2024521446
50,194,22,3,9,0,1.31,PROD-2023955662
51,598,16,11,2144,28,1.29,PROD-2024637261
52,623,8,9,3588,47,1.32,PROD-2024486707
53,150,5,3,15,0,1.29,PROD-2023344876
54,20,1,2,10,0,1.3,PROD-2023378728
55,337,17,3,809,11,1.37,PROD-2023231758
56,613,3,9,2072,27,1.3,PROD-2024609205
57,531,16,9,1521,18,1.2,PROD-2024676842
58,324,9,3,7,0,1.34,PROD-2023846736
59,656,18,2,691,9,1.25,PROD-2024257650
60,356,18,12,1222,16,1.36,PROD-2023960231
61,607,19,9,67,1,1.29,PROD-2024612571
62,672,9,11,2502,34,1.35,PROD-2024612479
63,340,6,8,306,4,1.32,PROD-2023322645
64,288,3,2,12,0,1.27,PROD-2023417692
65,663,5,8,2722,36,1.31,PROD-2024983765
66,665,8,2,617,8,1.31,PROD-2024924100
67,663,14,11,127,2,1.31,PROD-2024936061
68,21,17,8,61,1,1.3,PROD-2023292400
69,560,12,3,1192,15,1.27,PROD-2024553251
70,365,20,10,1186,16,1.34,PROD-2023819839
71,468,15,11,1771,22,1.27,PROD-2024133708
72,525,10,2,692,8,1.22,PROD-2024855685
73,516,21,8,185,2,1.28,PROD-2024331982
74,402,8,8,2677,34,1.28,PROD-2024232359
75,269,21,9,36,0,1.34,PROD-2023689242
76,430,4,10,2383,32,1.33,PROD-2024884544
77,522,2,10,1230,15,1.19,PROD-2024886397
78,137,7,3,13,0,1.27,PROD-2023680446
79,154,10,2,19,0,1.19,PROD-2023282993
80,3,4,7,38,1,1.33,PROD-2023877985
81,597,22,9,355,5,1.28,PROD-2024166011
82,356,15,1,539,7,1.33,PROD-2023846183
83,218,4,7,9,0,1.3,PROD-2023920866
84,156,21,8,14,0,1.18,PROD-2023947307
85,544,20,2,2376,29,1.21,PROD-2024870929
86,650,14,3,1695,22,1.29,PROD-2024159755
87,197,8,3,23,0,1.34,PROD-2023997249
88,451,11,10,2180,28,1.3,PROD-2024181556
89,553,6,7,1953,25,1.3,PROD-2024847366
90,599,14,2,2737,35,1.28,PROD-2024395640
91,54,1,7,3,0,1.32,PROD-2023729922
92,297,16,8,26,0,1.27,PROD-2023147992
93,51,13,7,39,1,1.29,PROD-2023239404
94,528,18,12,2494,31,1.23,PROD-2024810152
95,230,14,3,54,1,1.32,PROD-2023196874
96,631,18,8,2876,38,1.32,PROD-2024196589
97,659,6,3,1284,17,1.3,PROD-2024761089
98,70,20,3,37,0,1.29,PROD-2023767896
99,701,13,9,2115,28,1.31,PROD-2024386492
100,180,22,11,23,0,1.24,PROD-2023291648
101,333,14,7,11,0,1.31,PROD-2023656382
102,350,13,9,557,8,1.34,PROD-2023257557
103,449,11,12,1880,25,1.33,PROD-2024758729
104,90,14,3,11,0,1.3,PROD-2023780878
105,461,7,7,2702,34,1.26,PROD-2024489697
106,154,11,10,6,0,1.24,PROD-2023763594
107,219,21,2,42,1,1.29,PROD-2023113708
108,90,1,11,44,1,1.28,PROD-2023728489
109,134,9,2,46,1,1.27,PROD-2023156066
110,29,6,7,11,0,1.32,PROD-2023416625
111,555,2,12,339,4,1.31,PROD-2024530162
112,556,15,2,880,11,1.28,PROD-2024473398
113,39,21,3,47,1,1.31,PROD-2023487977
114,62,7,7,17,0,1.3,PROD-2023840936
115,645,4,1,483,6,1.28,PROD-2024258816
116,7,21,3,50,1,1.29,PROD-2023687105
117,467,21,11,1758,22,1.25,PROD-2024654176
118,308,19,3,48,1,1.36,PROD-2023670482
119,308,9,2,4,0,1.34,PROD-2023879342
120,603,9,8,1757,23,1.31,PROD-2024946427
121,387,6,12,3235,42,1.31,PROD-2024616079
122,631,17,8,2394,31,1.29,PROD-2024693635
123,725,1,8,1360,19,1.38,PROD-2024423875
124,337,21,11,215,3,1.36,PROD-2023566445
125,322,21,7,48,1,1.33,PROD-2023954266
126,656,20,7,769,10,1.26,PROD-2024367541
127,392,7,10,579,7,1.29,PROD-2024806723
128,646,22,3,1396,18,1.29,PROD-2024370219
129,252,21,12,59,1,1.33,PROD-2023105627
130,176,11,12,23,0,1.2,PROD-2023750432
131,441,4,11,2651,34,1.3,PROD-2024492138
132,71,13,1,7,0,1.34,PROD-2023183095
133,103,15,3,42,1,1.21,PROD-2023735413
134,469,9,11,205,3,1.24,PROD-2024759864
135,262,14,1,48,1,1.35,PROD-2023704285
136,513,17,1,181,2,1.28,PROD-2024602674
137,373,16,9,1025,13,1.29,PROD-2024923434
138,410,22,9,1725,22,1.27,PROD-2024775722
139,34,4,2,1,0,1.32,PROD-2023190334
140,699,12,9,1384,19,1.35,PROD-2024763390
141,361,1,7,719,10,1.36,PROD-2023399076
142,330,1,11,32,0,1.36,PROD-2023565372
143,372,3,9,690,9,1.3,PROD-2024582572
144,574,1,12,389,5,1.28,PROD-2024206710
145,17,18,8,16,0,1.26,PROD-2023360761
146,388,16,3,111,1,1.27,PROD-2024352551
147,70,21,12,30,0,1.33,PROD-2023574348
148,51,19,9,5,0,1.29,PROD-2023940502
149,170,8,1,43,1,1.22,PROD-2023332313
150,215,10,10,13,0,1.31,PROD-2023784696
